Order_Id,Customer_Id,Customer_Name,Product_Id,Product_Category,Product_Name,Quantity_ordered,Price,Date_and_Time_When_Order_Was_Placed,Customer_Country,Customer_City,Site_From_Where_Order_Was_Placed,Payment_Type,Payment_Transaction_Confirmation_Id,Payment_Success_or_Failure,Payment_Failure_Reason
dc978645-b136-44cf-bb40-a4fb7254683b,123e4567-e89b-12d3-a456-426614174000,Amber Peck,123e4567-e89b-12d3-a456-426614174000,Electronics,Headphones,3,444.03,2024-04-06 14:11:08.531006,Canada,New Gregoryport,Walmart,UPI,123e4567-e89b-12d3-a456-426614174000,N,Fraudulent Activity
123e4567-e89b-12d3-a456-426614174001,f2b46697-6178-4446-a794-37b420268884,Sheri Martin,123e4567-e89b-12d3-a456-426614174001,Clothing,Jeans,4,426.81,2024-08-25 14:11:08.531006,Canada,New Joseburgh,Flipkart,Card,123e4567-e89b-12d3-a456-426614174001,Y,Fraudulent Activity
123e4567-e89b-12d3-a456-426614174002,123e4567-e89b-12d3-a456-426614174002,Tracey Graham,0016fb2c-5782-4963-a912-01e77abc5c36,Clothing,Jackets,4,301.51,2023-12-16 14:11:08.531006,Canada,South Cheryl,Amazon,Internet Banking,123e4567-e89b-12d3-a456-426614174002,Y,No Reason Provided
123e4567-e89b-12d3-a456-426614174003,123e4567-e89b-12d3-a456-426614174003,Tammy Collins,123e4567-e89b-12d3-a456-426614174003,Electronics,Smartphones,2,855.25,2023-12-09 14:11:08.531006,France,Buckhaven,eBay,UPI,123e4567-e89b-12d3-a456-426614174003,N,Fraudulent Activity
123e4567-e89b-12d3-a456-426614174004,123e4567-e89b-12d3-a456-426614174004,Jared Jackson,123e4567-e89b-12d3-a456-426614174004,Sports,Basketball,1,301.33,2024-07-29 14:11:08.531006,UK,New Laura,Shopify,Internet Banking,123e4567-e89b-12d3-a456-426614174004,N,No Reason Provided
123e4567-e89b-12d3-a456-426614174005,123e4567-e89b-12d3-a456-426614174005,William Durham,123e4567-e89b-12d3-a456-426614174005,Sports,Football,2,580.93,2024-07-12 14:11:08.531006,Canada,New Amyport,Walmart,Card,123e4567-e89b-12d3-a456-426614174005,N,Insufficient Funds
123e4567-e89b-12d3-a456-426614174006,123e4567-e89b-12d3-a456-426614174006,Frank Parker,123e4567-e89b-12d3-a456-426614174006,Clothing,Jackets,5,898.6,2024-05-27 14:11:08.531006,UK,North Derektown,Walmart,UPI,123e4567-e89b-12d3-a456-426614174006,Y,Card Expired
123e4567-e89b-12d3-a456-426614174007,123e4567-e89b-12d3-a456-426614174007,Daniel Bartlett,123e4567-e89b-12d3-a456-426614174007,Books,Magazines,4,566.39,2023-10-25 14:11:08.531006,Canada,South Brettfort,Flipkart,Wallet,127faa35-d825-419b-a9f1-772fc3860b51,N,Insufficient Funds
123e4567-e89b-12d3-a456-426614174008,123e4567-e89b-12d3-a456-426614174008,Christine Rivera,123e4567-e89b-12d3-a456-426614174008,Electronics,Headphones,1,862.37,2024-05-21 14:11:08.531006,Germany,Port Dwayne,Amazon,Card,123e4567-e89b-12d3-a456-426614174008,Y,No Reason Provided
123e4567-e89b-12d3-a456-426614174009,123e4567-e89b-12d3-a456-426614174009,Tracy Mullins,123e4567-e89b-12d3-a456-426614174009,Electronics,Batteries,4,49.38,2023-10-16 14:11:08.531006,Germany,Lake Louisborough,Flipkart,Internet Banking,123e4567-e89b-12d3-a456-426614174009,Y,Payment Gateway Error
